,0,1,text_no_punct,text_tokenized,text_no_sw,text_lem
560,ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",aiyo u always c our ex one i dunno abt mei she haven reply first time u reply so fast y so lucky not workin huh got bao by ur sugardad ahgee ,"['aiyo', 'u', 'always', 'c', 'our', 'ex', 'one', 'i', 'dunno', 'abt', 'mei', 'she', 'haven', 'reply', 'first', 'time', 'u', 'reply', 'so', 'fast', 'y', 'so', 'lucky', 'not', 'workin', 'huh', 'got', 'bao', 'by', 'ur', 'sugardad', 'ahgee', '']","['aiyo', 'u', 'c', 'ex', 'dunno', 'abt', 'mei', 'haven', 'reply', 'time', 'u', 'reply', 'fast', 'y', 'lucky', 'workin', 'huh', 'got', 'bao', 'ur', 'sugardad', 'ahgee', '']","['aiyo', 'u', 'c', 'ex', 'dunno', 'abt', 'mei', 'haven', 'reply', 'time', 'u', 'reply', 'fast', 'y', 'lucky', 'workin', 'huh', 'get', 'bao', 'ur', 'sugardad', 'ahgee']"
561,ham,Hi msg me:)i'm in office..,hi msg meim in office,"['hi', 'msg', 'meim', 'in', 'office']","['hi', 'msg', 'meim', 'office']","['hi', 'msg', 'meim', 'office']"
562,ham,Thanx 4 e brownie it's v nice...,thanx 4 e brownie its v nice,"['thanx', '4', 'e', 'brownie', 'its', 'v', 'nice']","['thanx', '4', 'e', 'brownie', 'v', 'nice']","['thanx', '4', 'e', 'brownie', 'v', 'nice']"
563,ham,Geeeee ... I love you so much I can barely stand it,geeeee  i love you so much i can barely stand it,"['geeeee', '', 'i', 'love', 'you', 'so', 'much', 'i', 'can', 'barely', 'stand', 'it']","['geeeee', '', 'love', 'barely', 'stand']","['geeeee', 'love', 'barely', 'stand']"
564,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,gent we are trying to contact you last weekends draw shows that you won a £1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm ,"['gent', 'we', 'are', 'trying', 'to', 'contact', 'you', 'last', 'weekends', 'draw', 'shows', 'that', 'you', 'won', 'a', '£1000', 'prize', 'guaranteed', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hrs', 'only', '150ppm', '']","['gent', 'trying', 'contact', 'weekends', 'draw', 'shows', 'won', '£1000', 'prize', 'guaranteed', '09064012160', 'claim', 'code', 'k52', 'valid', '12hrs', '150ppm', '']","['gent', 'try', 'contact', 'weekend', 'draw', 'show', 'won', '1000', 'prize', 'guarantee', '09064012160', 'claim', 'code', 'valid']"
565,ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",fuck babe  i miss you already you know  cant you let me send you some money towards your net  i need you  i want you  i crave you ,"['fuck', 'babe', '', 'i', 'miss', 'you', 'already', 'you', 'know', '', 'cant', 'you', 'let', 'me', 'send', 'you', 'some', 'money', 'towards', 'your', 'net', '', 'i', 'need', 'you', '', 'i', 'want', 'you', '', 'i', 'crave', 'you', '']","['fuck', 'babe', '', 'miss', 'know', '', 'cant', 'let', 'send', 'money', 'net', '', 'need', '', 'want', '', 'crave', '']","['fuck', 'babe', 'miss', 'know', 'can', 'not', 'let', 'send', 'money', 'net', 'need', 'want', 'crave']"
566,ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",ill call u 2mrw at ninish with my address that icky american freek wont stop callin me 2 bad jen k eh,"['ill', 'call', 'u', '2mrw', 'at', 'ninish', 'with', 'my', 'address', 'that', 'icky', 'american', 'freek', 'wont', 'stop', 'callin', 'me', '2', 'bad', 'jen', 'k', 'eh']","['ill', 'u', '2mrw', 'ninish', 'address', 'icky', 'american', 'freek', 'wont', 'stop', 'callin', '2', 'bad', 'jen', 'k', 'eh']","['ill', 'u', 'ninish', 'address', 'icky', 'american', 'freek', 'will', 'not', 'stop', 'callin', '2', 'bad', 'jen', 'k', 'eh']"
567,ham,Oooh bed ridden ey? What are YOU thinking of?,oooh bed ridden ey what are you thinking of,"['oooh', 'bed', 'ridden', 'ey', 'what', 'are', 'you', 'thinking', 'of']","['oooh', 'bed', 'ridden', 'ey', 'thinking']","['oooh', 'bed', 'ridden', 'ey', 'think']"
568,ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",so anyways you can just go to your gym or whatever my love smiles i hope your ok and having a good day babe  i miss you so much already,"['so', 'anyways', 'you', 'can', 'just', 'go', 'to', 'your', 'gym', 'or', 'whatever', 'my', 'love', 'smiles', 'i', 'hope', 'your', 'ok', 'and', 'having', 'a', 'good', 'day', 'babe', '', 'i', 'miss', 'you', 'so', 'much', 'already']","['anyways', 'gym', 'love', 'smiles', 'hope', 'ok', 'having', 'good', 'day', 'babe', '', 'miss']","['anyways', 'gym', 'love', 'smile', 'hope', 'ok', 'have', 'good', 'day', 'babe', 'miss']"
569,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,love it daddy will make you scream with pleasure i am going to slap your ass with my dick,"['love', 'it', 'daddy', 'will', 'make', 'you', 'scream', 'with', 'pleasure', 'i', 'am', 'going', 'to', 'slap', 'your', 'ass', 'with', 'my', 'dick']","['love', 'daddy', 'scream', 'pleasure', 'going', 'slap', 'ass', 'dick']","['love', 'daddy', 'scream', 'pleasure', 'go', 'slap', 'ass', 'dick']"
570,ham,WOT U WANNA DO THEN MISSY?,wot u wanna do then missy,"['wot', 'u', 'wanna', 'do', 'then', 'missy']","['wot', 'u', 'wanna', 'missy']","['wot', 'u', 'wanna', 'missy']"
571,ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,yar lor wait 4 my mum 2 finish sch then have lunch lor i whole morning stay at home clean my room now my room quite clean hee,"['yar', 'lor', 'wait', '4', 'my', 'mum', '2', 'finish', 'sch', 'then', 'have', 'lunch', 'lor', 'i', 'whole', 'morning', 'stay', 'at', 'home', 'clean', 'my', 'room', 'now', 'my', 'room', 'quite', 'clean', 'hee']","['yar', 'lor', 'wait', '4', 'mum', '2', 'finish', 'sch', 'lunch', 'lor', 'morning', 'stay', 'home', 'clean', 'room', 'room', 'clean', 'hee']","['yar', 'lor', 'wait', '4', 'mum', '2', 'finish', 'sch', 'lunch', 'lor', 'morning', 'stay', 'home', 'clean', 'room', 'room', 'clean', 'hee']"
572,ham,Do you know where my lab goggles went,do you know where my lab goggles went,"['do', 'you', 'know', 'where', 'my', 'lab', 'goggles', 'went']","['know', 'lab', 'goggles', 'went']","['know', 'lab', 'goggle', 'go']"
573,ham,Can you open the door?,can you open the door,"['can', 'you', 'open', 'the', 'door']","['open', 'door']","['open', 'door']"
574,ham,Waiting for your call.,waiting for your call,"['waiting', 'for', 'your', 'call']",['waiting'],['wait']
575,ham,Nope i waiting in sch 4 daddy... ,nope i waiting in sch 4 daddy ,"['nope', 'i', 'waiting', 'in', 'sch', '4', 'daddy', '']","['nope', 'waiting', 'sch', '4', 'daddy', '']","['nope', 'wait', 'sch', '4', 'daddy']"
576,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",you have won 1000 cash or a 2000 prize to claim call09050000327,"['you', 'have', 'won', '1000', 'cash', 'or', 'a', '2000', 'prize', 'to', 'claim', 'call09050000327']","['won', '1000', 'cash', '2000', 'prize', 'claim', 'call09050000327']","['won', '1000', 'cash', '2000', 'prize', 'claim']"
577,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",im tired of arguing with you about this week after week do what you want and from now on ill do the same,"['im', 'tired', 'of', 'arguing', 'with', 'you', 'about', 'this', 'week', 'after', 'week', 'do', 'what', 'you', 'want', 'and', 'from', 'now', 'on', 'ill', 'do', 'the', 'same']","['im', 'tired', 'arguing', 'week', 'week', 'want', 'ill']","['I', 'm', 'tired', 'argue', 'week', 'week', 'want', 'ill']"
578,ham,Ü wait 4 me in sch i finish ard 5..,ü wait 4 me in sch i finish ard 5,"['ü', 'wait', '4', 'me', 'in', 'sch', 'i', 'finish', 'ard', '5']","['ü', 'wait', '4', 'sch', 'finish', 'ard', '5']","['ü', 'wait', '4', 'sch', 'finish', 'ard', '5']"
579,spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",our mobile number has won £5000 to claim calls us back or ring the claims hot line on 09050005321,"['our', 'mobile', 'number', 'has', 'won', '£5000', 'to', 'claim', 'calls', 'us', 'back', 'or', 'ring', 'the', 'claims', 'hot', 'line', 'on', '09050005321']","['mobile', 'number', 'won', '£5000', 'claim', 'calls', 'ring', 'claims', 'hot', 'line', '09050005321']","['mobile', 'number', 'won', '5000', 'claim', 'call', 'ring', 'claim', 'hot', 'line', '09050005321']"
580,ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",arngd marriage is while u r walkin unfortuntly a snake bites u bt love marriage is dancing in frnt of d snake amp sayin bite me bite me,"['arngd', 'marriage', 'is', 'while', 'u', 'r', 'walkin', 'unfortuntly', 'a', 'snake', 'bites', 'u', 'bt', 'love', 'marriage', 'is', 'dancing', 'in', 'frnt', 'of', 'd', 'snake', 'amp', 'sayin', 'bite', 'me', 'bite', 'me']","['arngd', 'marriage', 'u', 'r', 'walkin', 'unfortuntly', 'snake', 'bites', 'u', 'bt', 'love', 'marriage', 'dancing', 'frnt', 'd', 'snake', 'amp', 'sayin', 'bite', 'bite']","['arngd', 'marriage', 'u', 'r', 'walkin', 'unfortuntly', 'snake', 'bite', 'u', 'bt', 'love', 'marriage', 'dancing', 'frnt', 'would', 'snake', 'amp', 'sayin', 'bite', 'bite']"
581,ham,Huh so early.. Then ü having dinner outside izzit?,huh so early then ü having dinner outside izzit,"['huh', 'so', 'early', 'then', 'ü', 'having', 'dinner', 'outside', 'izzit']","['huh', 'early', 'ü', 'having', 'dinner', 'outside', 'izzit']","['huh', 'early', 'ü', 'have', 'dinner', 'outside', 'izzit']"
582,ham,Ok anyway no need to change with what you said,ok anyway no need to change with what you said,"['ok', 'anyway', 'no', 'need', 'to', 'change', 'with', 'what', 'you', 'said']","['ok', 'need', 'change', 'said']","['ok', 'need', 'change', 'say']"
583,spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,we tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,"['we', 'tried', 'to', 'contact', 'you', 're', 'your', 'reply', 'to', 'our', 'offer', 'of', '750', 'mins', '150', 'textand', 'a', 'new', 'video', 'phone', 'call', '08002988890', 'now', 'or', 'reply', 'for', 'free', 'delivery', 'tomorrow']","['tried', 'contact', 'reply', 'offer', '750', 'mins', '150', 'textand', 'new', 'video', 'phone', '08002988890', 'reply', 'free', 'delivery', 'tomorrow']","['try', 'contact', 'reply', 'offer', '750', 'min', '150', 'textand', 'new', 'video', 'phone', '08002988890', 'reply', 'free', 'delivery', 'tomorrow']"
584,ham,my ex-wife was not able to have kids. Do you want kids one day?,my exwife was not able to have kids do you want kids one day,"['my', 'exwife', 'was', 'not', 'able', 'to', 'have', 'kids', 'do', 'you', 'want', 'kids', 'one', 'day']","['exwife', 'able', 'kids', 'want', 'kids', 'day']","['exwife', 'able', 'kid', 'want', 'kid', 'day']"
585,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,so hows scotland hope you are not over showing your jjc tendencies take care live the dream,"['so', 'hows', 'scotland', 'hope', 'you', 'are', 'not', 'over', 'showing', 'your', 'jjc', 'tendencies', 'take', 'care', 'live', 'the', 'dream']","['hows', 'scotland', 'hope', 'showing', 'jjc', 'tendencies', 'care', 'live', 'dream']","['how', 's', 'scotland', 'hope', 'show', 'jjc', 'tendency', 'care', 'live', 'dream']"
586,ham,Tell them u have a headache and just want to use 1 hour of sick time.,tell them u have a headache and just want to use 1 hour of sick time,"['tell', 'them', 'u', 'have', 'a', 'headache', 'and', 'just', 'want', 'to', 'use', '1', 'hour', 'of', 'sick', 'time']","['tell', 'u', 'headache', 'want', 'use', '1', 'hour', 'sick', 'time']","['tell', 'u', 'headache', 'want', 'use', '1', 'hour', 'sick', 'time']"
587,ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",i dun thk ill quit yet hmmm can go jazz  yogasana oso can we can go meet em after our lessons den ,"['i', 'dun', 'thk', 'ill', 'quit', 'yet', 'hmmm', 'can', 'go', 'jazz', '', 'yogasana', 'oso', 'can', 'we', 'can', 'go', 'meet', 'em', 'after', 'our', 'lessons', 'den', '']","['dun', 'thk', 'ill', 'quit', 'hmmm', 'jazz', '', 'yogasana', 'oso', 'meet', 'em', 'lessons', 'den', '']","['dun', 'thk', 'ill', 'quit', 'hmmm', 'jazz', 'yogasana', 'oso', 'meet', 'them', 'lesson', 'den']"
588,ham,Pete can you please ring meive hardly gotany credit,pete can you please ring meive hardly gotany credit,"['pete', 'can', 'you', 'please', 'ring', 'meive', 'hardly', 'gotany', 'credit']","['pete', 'ring', 'meive', 'hardly', 'gotany', 'credit']","['pete', 'ring', 'meive', 'hardly', 'gotany', 'credit']"
589,ham,Ya srsly better than yi tho,ya srsly better than yi tho,"['ya', 'srsly', 'better', 'than', 'yi', 'tho']","['ya', 'srsly', 'better', 'yi', 'tho']","['ya', 'srsly', 'well', 'yi', 'tho']"
590,ham,"I'm in a meeting, call me later at",im in a meeting call me later at,"['im', 'in', 'a', 'meeting', 'call', 'me', 'later', 'at']","['im', 'meeting', 'later']","['I', 'm', 'meeting', 'later']"
591,spam,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",for ur chance to win a £250 wkly shopping spree txt shop to 80878 tscs wwwtxt2shopcom custcare 08715705022 1x150pwk,"['for', 'ur', 'chance', 'to', 'win', 'a', '£250', 'wkly', 'shopping', 'spree', 'txt', 'shop', 'to', '80878', 'tscs', 'wwwtxt2shopcom', 'custcare', '08715705022', '1x150pwk']","['ur', 'chance', 'win', '£250', 'wkly', 'shopping', 'spree', 'txt', 'shop', '80878', 'tscs', 'wwwtxt2shopcom', 'custcare', '08715705022', '1x150pwk']","['ur', 'chance', 'win', '250', 'wkly', 'shopping', 'spree', 'txt', 'shop', '80878', 'tsc', 'custcare', '08715705022']"
592,spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,you have been specially selected to receive a 2000 pound award call 08712402050 before the lines close cost 10ppm 16 tcs apply ag promo,"['you', 'have', 'been', 'specially', 'selected', 'to', 'receive', 'a', '2000', 'pound', 'award', 'call', '08712402050', 'before', 'the', 'lines', 'close', 'cost', '10ppm', '16', 'tcs', 'apply', 'ag', 'promo']","['specially', 'selected', 'receive', '2000', 'pound', 'award', '08712402050', 'lines', 'close', 'cost', '10ppm', '16', 'tcs', 'apply', 'ag', 'promo']","['specially', 'select', 'receive', '2000', 'pound', 'award', '08712402050', 'line', 'close', 'cost', '16', 'tcs', 'apply', 'ag', 'promo']"
593,spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,private your 2003 account statement for 07753741225 shows 800 unredeemed s i m points call 08715203677 identifier code 42478 expires 241004,"['private', 'your', '2003', 'account', 'statement', 'for', '07753741225', 'shows', '800', 'unredeemed', 's', 'i', 'm', 'points', 'call', '08715203677', 'identifier', 'code', '42478', 'expires', '241004']","['private', '2003', 'account', 'statement', '07753741225', 'shows', '800', 'unredeemed', 's', 'm', 'points', '08715203677', 'identifier', 'code', '42478', 'expires', '241004']","['private', '2003', 'account', 'statement', '07753741225', 'show', '800', 'unredeemed', 'be', 'm', 'point', '08715203677', 'identifier', 'code', '42478', 'expire', '241004']"
594,ham,You still at grand prix?,you still at grand prix,"['you', 'still', 'at', 'grand', 'prix']","['grand', 'prix']","['grand', 'prix']"
595,ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",i met you as a stranger and choose you as my friend as long as the world stands our friendship never ends lets be friends forever gud nitz,"['i', 'met', 'you', 'as', 'a', 'stranger', 'and', 'choose', 'you', 'as', 'my', 'friend', 'as', 'long', 'as', 'the', 'world', 'stands', 'our', 'friendship', 'never', 'ends', 'lets', 'be', 'friends', 'forever', 'gud', 'nitz']","['met', 'stranger', 'choose', 'friend', 'long', 'world', 'stands', 'friendship', 'ends', 'lets', 'friends', 'forever', 'gud', 'nitz']","['meet', 'stranger', 'choose', 'friend', 'long', 'world', 'stand', 'friendship', 'end', 'let', 'friend', 'forever', 'gud', 'nitz']"
596,ham,I am great! How are you?,i am great how are you,"['i', 'am', 'great', 'how', 'are', 'you']",['great'],['great']
597,ham,Gud mrng dear have a nice day,gud mrng dear have a nice day,"['gud', 'mrng', 'dear', 'have', 'a', 'nice', 'day']","['gud', 'mrng', 'dear', 'nice', 'day']","['gud', 'mrng', 'dear', 'nice', 'day']"
598,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,you have an important customer service announcement call freephone 0800 542 0825 now,"['you', 'have', 'an', 'important', 'customer', 'service', 'announcement', 'call', 'freephone', '0800', '542', '0825', 'now']","['important', 'customer', 'service', 'announcement', 'freephone', '0800', '542', '0825']","['important', 'customer', 'service', 'announcement', 'freephone', '0800', '542', '0825']"
599,ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,will do was exhausted on train this morning too much wine and pie you sleep well too,"['will', 'do', 'was', 'exhausted', 'on', 'train', 'this', 'morning', 'too', 'much', 'wine', 'and', 'pie', 'you', 'sleep', 'well', 'too']","['exhausted', 'train', 'morning', 'wine', 'pie', 'sleep']","['exhausted', 'train', 'morning', 'wine', 'pie', 'sleep']"
600,ham,I'm going out to buy mum's present ar.,im going out to buy mums present ar,"['im', 'going', 'out', 'to', 'buy', 'mums', 'present', 'ar']","['im', 'going', 'buy', 'mums', 'present', 'ar']","['I', 'm', 'go', 'buy', 'mum', 'present', 'ar']"
601,ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,mind blastin no more tsunamis will occur from now on rajnikant stopped swimming in indian oceand,"['mind', 'blastin', 'no', 'more', 'tsunamis', 'will', 'occur', 'from', 'now', 'on', 'rajnikant', 'stopped', 'swimming', 'in', 'indian', 'oceand']","['mind', 'blastin', 'tsunamis', 'occur', 'rajnikant', 'stopped', 'swimming', 'indian', 'oceand']","['mind', 'blastin', 'tsunamis', 'occur', 'rajnikant', 'stop', 'swimming', 'indian', 'oceand']"
602,ham,If u sending her home first it's ok lor. I'm not ready yet.,if u sending her home first its ok lor im not ready yet,"['if', 'u', 'sending', 'her', 'home', 'first', 'its', 'ok', 'lor', 'im', 'not', 'ready', 'yet']","['u', 'sending', 'home', 'ok', 'lor', 'im', 'ready']","['u', 'send', 'home', 'ok', 'lor', 'I', 'm', 'ready']"
603,ham,Speaking of does he have any cash yet?,speaking of does he have any cash yet,"['speaking', 'of', 'does', 'he', 'have', 'any', 'cash', 'yet']","['speaking', 'cash']","['speak', 'cash']"
604,ham,Be happy there. I will come after noon,be happy there i will come after noon,"['be', 'happy', 'there', 'i', 'will', 'come', 'after', 'noon']","['happy', 'come', 'noon']","['happy', 'come', 'noon']"
605,ham,Meet after lunch la...,meet after lunch la,"['meet', 'after', 'lunch', 'la']","['meet', 'lunch', 'la']","['meet', 'lunch', 'la']"
606,ham,TaKe CaRE n gET WeLL sOOn,take care n get well soon,"['take', 'care', 'n', 'get', 'well', 'soon']","['care', 'n', 'soon']","['care', 'n', 'soon']"
607,spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,xclusiveclubsaisai 2morow 285 soiree speciale zouk with nichols from parisfree roses 2 all ladies  info 0794674629107880867867 ,"['xclusiveclubsaisai', '2morow', '285', 'soiree', 'speciale', 'zouk', 'with', 'nichols', 'from', 'parisfree', 'roses', '2', 'all', 'ladies', '', 'info', '0794674629107880867867', '']","['xclusiveclubsaisai', '2morow', '285', 'soiree', 'speciale', 'zouk', 'nichols', 'parisfree', 'roses', '2', 'ladies', '', 'info', '0794674629107880867867', '']","['xclusiveclubsaisai', '285', 'soiree', 'speciale', 'zouk', 'nichols', 'parisfree', 'rose', '2', 'lady', 'info', '0794674629107880867867']"
608,ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,what i meant to say is cant wait to see u again getting bored of this bridgwater banter,"['what', 'i', 'meant', 'to', 'say', 'is', 'cant', 'wait', 'to', 'see', 'u', 'again', 'getting', 'bored', 'of', 'this', 'bridgwater', 'banter']","['meant', 'cant', 'wait', 'u', 'getting', 'bored', 'bridgwater', 'banter']","['mean', 'can', 'not', 'wait', 'u', 'get', 'bored', 'bridgwater', 'banter']"
609,ham,Neva mind it's ok..,neva mind its ok,"['neva', 'mind', 'its', 'ok']","['neva', 'mind', 'ok']","['neva', 'mind', 'ok']"
610,ham,"It's fine, imma get a drink or somethin. Want me to come find you?",its fine imma get a drink or somethin want me to come find you,"['its', 'fine', 'imma', 'get', 'a', 'drink', 'or', 'somethin', 'want', 'me', 'to', 'come', 'find', 'you']","['fine', 'imma', 'drink', 'somethin', 'want', 'come', 'find']","['fine', 'imma', 'drink', 'something', 'want', 'come', 'find']"
611,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,22 days to kick off for euro2004 u will be kept up to date with the latest news and results daily to be removed send get txt stop to 83222,"['22', 'days', 'to', 'kick', 'off', 'for', 'euro2004', 'u', 'will', 'be', 'kept', 'up', 'to', 'date', 'with', 'the', 'latest', 'news', 'and', 'results', 'daily', 'to', 'be', 'removed', 'send', 'get', 'txt', 'stop', 'to', '83222']","['22', 'days', 'kick', 'euro2004', 'u', 'kept', 'date', 'latest', 'news', 'results', 'daily', 'removed', 'send', 'txt', 'stop', '83222']","['22', 'day', 'kick', 'u', 'keep', 'date', 'late', 'news', 'result', 'daily', 'remove', 'send', 'txt', 'stop', '83222']"
612,ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,its a valentine game   send dis msg to all ur friends  if 5 answers r d same then someone really loves u ques which colour suits me the bestrply me,"['its', 'a', 'valentine', 'game', '', '', 'send', 'dis', 'msg', 'to', 'all', 'ur', 'friends', '', 'if', '5', 'answers', 'r', 'd', 'same', 'then', 'someone', 'really', 'loves', 'u', 'ques', 'which', 'colour', 'suits', 'me', 'the', 'bestrply', 'me']","['valentine', 'game', '', '', 'send', 'dis', 'msg', 'ur', 'friends', '', '5', 'answers', 'r', 'd', 'loves', 'u', 'ques', 'colour', 'suits', 'bestrply']","['valentine', 'game', 'send', 'dis', 'msg', 'ur', 'friend', '5', 'answer', 'r', 'would', 'love', 'u', 'que', 'colour', 'suit', 'bestrply']"
613,ham,I have many dependents,i have many dependents,"['i', 'have', 'many', 'dependents']",['dependents'],['dependent']
614,ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,thanx4 today cer it was nice 2 catch up but we ave 2 find more time more often oh well take care c u soonc,"['thanx4', 'today', 'cer', 'it', 'was', 'nice', '2', 'catch', 'up', 'but', 'we', 'ave', '2', 'find', 'more', 'time', 'more', 'often', 'oh', 'well', 'take', 'care', 'c', 'u', 'soonc']","['thanx4', 'today', 'cer', 'nice', '2', 'catch', 'ave', '2', 'find', 'time', 'oh', 'care', 'c', 'u', 'soonc']","['today', 'cer', 'nice', '2', 'catch', 'ave', '2', 'find', 'time', 'oh', 'care', 'c', 'u', 'soonc']"
615,ham,I called and said all to him:)then he have to choose this future.,i called and said all to himthen he have to choose this future,"['i', 'called', 'and', 'said', 'all', 'to', 'himthen', 'he', 'have', 'to', 'choose', 'this', 'future']","['called', 'said', 'himthen', 'choose', 'future']","['call', 'say', 'himthen', 'choose', 'future']"
616,ham,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...,happy valentines day i know its early but i have hundreds of handsomes and beauties to wish so i thought to finish off aunties and uncles 1st,"['happy', 'valentines', 'day', 'i', 'know', 'its', 'early', 'but', 'i', 'have', 'hundreds', 'of', 'handsomes', 'and', 'beauties', 'to', 'wish', 'so', 'i', 'thought', 'to', 'finish', 'off', 'aunties', 'and', 'uncles', '1st']","['happy', 'valentines', 'day', 'know', 'early', 'hundreds', 'handsomes', 'beauties', 'wish', 'thought', 'finish', 'aunties', 'uncles', '1st']","['happy', 'valentine', 'day', 'know', 'early', 'hundred', 'handsome', 'beauty', 'wish', 'thought', 'finish', 'auntie', 'uncle']"
617,ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,he like not v shock leh cos telling shuhui is like telling leona also like dat almost all know liao he got ask me abt ur reaction lor,"['he', 'like', 'not', 'v', 'shock', 'leh', 'cos', 'telling', 'shuhui', 'is', 'like', 'telling', 'leona', 'also', 'like', 'dat', 'almost', 'all', 'know', 'liao', 'he', 'got', 'ask', 'me', 'abt', 'ur', 'reaction', 'lor']","['like', 'v', 'shock', 'leh', 'cos', 'telling', 'shuhui', 'like', 'telling', 'leona', 'like', 'dat', 'know', 'liao', 'got', 'ask', 'abt', 'ur', 'reaction', 'lor']","['like', 'v', 'shock', 'leh', 'tell', 'shuhui', 'like', 'tell', 'leona', 'like', 'dat', 'know', 'liao', 'get', 'ask', 'abt', 'ur', 'reaction', 'lor']"
618,ham,For my family happiness..,for my family happiness,"['for', 'my', 'family', 'happiness']","['family', 'happiness']","['family', 'happiness']"
619,ham,I come n pick ü up... Come out immediately aft ur lesson...,i come n pick ü up come out immediately aft ur lesson,"['i', 'come', 'n', 'pick', 'ü', 'up', 'come', 'out', 'immediately', 'aft', 'ur', 'lesson']","['come', 'n', 'pick', 'ü', 'come', 'immediately', 'aft', 'ur', 'lesson']","['come', 'n', 'pick', 'ü', 'come', 'immediately', 'aft', 'ur', 'lesson']"
620,ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,let there be snow let there be snow this kind of weather brings ppl together so friendships can grow,"['let', 'there', 'be', 'snow', 'let', 'there', 'be', 'snow', 'this', 'kind', 'of', 'weather', 'brings', 'ppl', 'together', 'so', 'friendships', 'can', 'grow']","['let', 'snow', 'let', 'snow', 'kind', 'weather', 'brings', 'ppl', 'friendships', 'grow']","['let', 'snow', 'let', 'snow', 'kind', 'weather', 'bring', 'ppl', 'friendship', 'grow']"
621,ham,Dear we got  &lt;#&gt;  dollars hi hi,dear we got  ltgt  dollars hi hi,"['dear', 'we', 'got', '', 'ltgt', '', 'dollars', 'hi', 'hi']","['dear', 'got', '', 'ltgt', '', 'dollars', 'hi', 'hi']","['dear', 'get', 'ltgt', 'dollar', 'hi', 'hi']"
622,ham,Good words.... But words may leave u in dismay many times.,good words but words may leave u in dismay many times,"['good', 'words', 'but', 'words', 'may', 'leave', 'u', 'in', 'dismay', 'many', 'times']","['good', 'words', 'words', 'leave', 'u', 'dismay', 'times']","['good', 'word', 'word', 'leave', 'u', 'dismay', 'time']"
